[Header]
TITLE,20220201-VERTICAL_2.Dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,2.8,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,985.272,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (µJ/K)
3852888968.7379,Error: Temperature of platform does not match the system temperature : System = 1.9998 K;  Platform = 2.0617 K
3852889095.74631,,1857,1.99998,1.99998,0.28784525,9.8999999E-6,2.0786811,0.042396132,7.5841462,0.01333,0.22955277,0.00109,21.782595,0.03789,0.18230621,13.614347,0.0018003881,98.715963,,,1,,,,1.6203514E-6,22.817936,4.3209152,3.6485376,0
3852889338.60337,,1857,2.20016,2.20016,0.2278775,9.8999999E-6,2.2672964,0.048899781,8.3231045,0.01117,0.28441047,0.001224,23.937465,0.03173,0.42644886,13.177071,0.0018386055,98.797733,,,1,,,,1.8381869E-6,27.228695,5.140633,3.670938,0
3852889545.77396,,1857,2.40009,2.40009,0.2758517,9.8999999E-6,2.4542487,0.051072569,9.0662465,0.01281,0.34882698,0.001368,26.113783,0.0364,0.28591917,12.861319,0.0020458994,98.77889,,,1,,,,2.0548505E-6,26.354142,6.0233365,3.6941027,0
3852889750.60719,,1857,2.60002,2.60002,0.23987105,9.8999999E-6,2.6437891,0.053430041,9.8747588,0.01343,0.42466257,0.001522,28.487294,0.03816,0.34178627,12.673324,0.0022037764,98.80234,,,1,,,,2.2742613E-6,25.722637,6.9896209,3.7350781,0
3852889953.81605,,1857,2.79997,2.79997,0.19189684,9.8999999E-6,2.8350791,0.055873867,10.778546,0.01723,0.51268104,0.001688,31.143744,0.04895,0.44714598,12.582485,0.0023799942,98.818674,,,1,,,,2.5037951E-6,25.346648,8.0376733,3.8018502,0
3852890155.66595,,1857,3.00018,3.00018,0.2278775,9.8999999E-6,3.0276594,0.058412596,11.82186,0.01983,0.6138468,0.001879,34.209858,0.05636,0.55738183,12.687513,0.002466322,98.885311,,,1,,,,2.7256601E-6,25.164969,9.1667217,3.9046202,0
3852890357.44166,,1857,3.19997,3.19997,0.26385817,9.8999999E-6,3.2233456,0.061600846,12.932149,0.02098,0.73119062,0.002121,37.48248,0.05963,0.54940769,12.978282,0.002801926,98.859239,,,1,,,,2.9201385E-6,25.375026,10.389957,4.0120268,0
3852890562.40674,,1857,3.39979,3.39979,0.25186461,9.8999999E-6,3.4180509,0.064980189,14.259172,0.02449,0.86381329,0.002434,41.38631,0.06961,1.6620708,13.444935,0.0030020014,98.896237,,,1,,,,3.1111518E-6,25.956563,11.683072,4.1717261,0
3852890770.69193,,1857,3.59963,3.59963,0.25186461,9.8999999E-6,3.6130499,0.066950819,16.162421,0.03741,1.0140537,0.002843,46.945309,0.1063,2.6466413,14.105433,0.0034335496,98.835799,,,1,,,,3.3657091E-6,26.889871,13.05413,4.4733457,0
3852890983.42501,,1857,3.79978,3.79978,0.25186461,9.8999999E-6,3.8058653,0.063045895,20.482416,0.126,1.1808513,0.00336,59.388905,0.3582,10.38284,15.724526,0.0054456155,98.192787,,,1,,,,3.8436311E-6,28.210866,14.484611,5.3818027,0
3852891208.24798,,1857,4.00011,4.00011,0.2758517,9.8999999E-6,3.9974622,0.059102284,29.12893,0.2176,1.3645905,0.003952,84.144781,0.6183,26.415776,22.049328,0.0083616406,97.567548,,,1,,,,3.9083228E-6,31.449052,15.979704,7.2868557,0
3852891476.22548,,1857,4.19983,4.19983,0.29983881,9.8999999E-6,4.204281,0.087891434,27.274181,0.1776,1.5798163,0.004606,79.08908,0.5048,51.833467,22.54313,0.0070048226,98.388758,,,1,,,,3.5635438E-6,44.098656,17.675979,6.4872403,0
3852891865.03875,,1857,4.4,4.4,0.28784525,9.8999999E-6,4.4041662,0.092525689,17.346067,0.03967,1.8011723,0.00518,51.096176,0.1127,3.4561218,13.533613,0.0056636446,98.756079,,,1,,,,3.8197823E-6,26.900111,19.39668,3.9385586,0
3852892073.17507,,1857,4.60041,4.60041,0.25186461,9.8999999E-6,4.6069339,0.10263408,15.879473,0.01396,2.0368051,0.005636,47.163962,0.03968,1.4423871,11.644185,0.0056269477,98.81888,,,1,,,,4.0947732E-6,27.067226,21.22384,3.4468636,0
3852892267.64927,,1857,4.80015,4.80015,0.26385817,9.8999999E-6,4.804077,0.10239542,15.45203,0.01192,2.2776879,0.005915,46.190115,0.03388,2.1381551,10.818308,0.005675872,98.870507,,,1,,,,4.3137321E-6,23.288371,23.079155,3.216441,0
3852892456.73353,,1857,5.00027,5.00027,0.29983881,9.8999999E-6,5.0032801,0.10584527,15.184476,0.01211,2.5326087,0.006082,45.684686,0.03442,1.1787198,10.226835,0.0059738752,98.874481,,,1,,,,4.512534E-6,21.636617,25.032812,3.0349043,0
3852892643.04159,,1857,5.19941,5.19941,0.2758517,9.8999999E-6,5.2030662,0.10993763,15.008593,0.01286,2.8042172,0.006213,45.45646,0.03655,2.1899586,9.7579834,0.0063381228,98.868091,,,1,,,,4.7053727E-6,20.45367,27.071898,2.884567,0
3852892824.88902,,1857,5.40041,5.40041,0.23987105,9.8999999E-6,5.405874,0.11444706,14.840035,0.012,3.0994204,0.006389,45.272647,0.03409,12.016138,9.2965331,0.006577481,98.881338,,,1,,,,4.9176842E-6,19.515967,29.223474,2.7451686,0
3852893004.19551,,1857,5.59988,5.59988,0.31183237,9.8999999E-6,5.605822,0.11878485,14.697014,0.01108,3.4130653,0.006684,45.179847,0.0315,7.8638381,8.9070574,0.0069425663,98.874881,,,1,,,,5.1217321E-6,18.593066,31.42524,2.6217412,0
3852893179.11087,,1857,5.79974,5.79974,0.28784525,9.8999999E-6,5.8062214,0.12326884,14.566295,0.01082,3.7519462,0.007163,45.147241,0.03075,1.7187462,8.5582271,0.0072780032,98.875279,,,1,,,,5.3257943E-6,17.814115,33.712207,2.5087391,0
3852893351.08612,,1857,6.00051,6.00051,0.25186461,9.8999999E-6,6.0069761,0.12772252,14.444347,0.01157,4.1149165,0.007844,45.163653,0.03287,5.1373077,8.2275109,0.0077103295,98.859788,,,1,,,,5.5416961E-6,17.116454,36.083762,2.4045953,0
3852893522.68898,,1857,6.19992,6.19992,0.2758517,9.8999999E-6,6.2079877,0.13203053,14.313534,0.01023,4.4986496,0.008733,45.175634,0.02908,3.7806049,7.9062102,0.0079850372,98.865557,,,1,,,,5.7671545E-6,16.455022,38.539111,2.305664,0
3852893691.81186,,1857,6.40008,6.40008,0.25186461,9.8999999E-6,6.4088804,0.13606507,14.225676,0.01118,4.9041158,0.009849,45.331423,0.03179,1.2321968,7.6364708,0.0082519419,98.872405,,,1,,,,5.990077E-6,15.81242,41.073747,2.219682,0
3852893856.8486,,1857,6.59958,6.59958,0.28784525,9.8999999E-6,6.6100198,0.14037123,14.135507,0.01098,5.3271165,0.01119,45.498177,0.03119,4.0620933,7.38925,0.0086546723,98.859655,,,1,,,,6.2127794E-6,15.272942,43.692361,2.138497,0
3852894021.63142,,1857,6.80012,6.80012,0.26385817,9.8999999E-6,6.8113625,0.14468264,14.03142,0.01125,5.7703672,0.01272,45.645626,0.03196,4.2394613,7.1400215,0.0089176351,98.862171,,,1,,,,6.4491471E-6,14.7785,46.39466,2.0600019,0
3852894184.06012,,1857,7.00057,7.00057,0.26385817,9.8999999E-6,7.0124815,0.14855561,13.970571,0.01147,6.2285577,0.01426,45.930893,0.0326,3.0373463,6.9355995,0.0093776068,98.839778,,,1,,,,6.6806463E-6,14.280043,49.174896,1.9922436,0
3852894342.56451,,1857,7.19991,7.19991,0.28784525,9.8999999E-6,7.2141992,0.15290793,13.882027,0.01183,6.7082188,0.01568,46.158925,0.03363,2.5603992,6.7316741,0.0098513291,98.815241,,,1,,,,6.9171177E-6,13.871199,52.04467,1.9242645,0
3852894501.68954,,1857,7.39991,7.39991,0.29983881,9.8999999E-6,7.4155854,0.15693244,13.83431,0.01201,7.2017611,0.01681,46.516862,0.03414,3.1567319,6.5684657,0.010235063,98.80294,,,1,,,,7.1432325E-6,13.463348,54.990906,1.8655722,0
3852894659.05578,,1857,7.59979,7.59979,0.23987105,9.8999999E-6,7.6171681,0.16109991,13.784853,0.01188,7.7126062,0.01753,46.887157,0.03376,2.4613923,6.3867641,0.010114329,98.842327,,,1,,,,7.4014196E-6,13.136931,58.02125,1.8097084,0
3852894813.70443,,1857,7.79997,7.79997,0.28784525,9.8999999E-6,7.8185672,0.1650752,13.728572,0.01282,8.2442457,0.01791,47.258855,0.03643,2.6313092,6.2480279,0.010900517,98.783114,,,1,,,,7.6274185E-6,12.773528,61.129993,1.7558936,0
3852894969.19142,,1857,7.99999,7.99999,0.25186461,9.8999999E-6,8.0203504,0.16930596,13.698189,0.013,8.7918791,0.01814,47.720143,0.03696,3.1921186,6.11046,0.010997012,98.797672,,,1,,,,7.8729434E-6,12.496056,64.326021,1.707929,0
